movie,rating,year_released,budget,total gross,gross in USA,country,runtime,views,premiere
Город Бога (2002),8.174,"
2002","
$3 300 000","
+ $19 822 922 = $27 387 381 сборы","
$7 564 459","
Бразилия,  Франция",130 мин. / 02:10,"
                        $75 000","
  3.03 млн,      1.24 млн,      497 тыс., ..."
Любовь и голуби (1984),8.173,"
1984","
  44.5 млн","

7 января 1985, ...","
  44.5 млн","
СССР",107 мин. / 01:47,,
Легенда о пианисте (1998),8.170,"
1998","
$9 000 000","
  772.8 тыс.,      94.7 тыс.,      64.5 тыс., ...","
$167 435  сборы","
Италия",120 мин. / 02:00,"
  772.8 тыс.,      94.7 тыс.,      64.5 тыс., ...",
Меня зовут Кхан (2010),8.170,"
2010","
$12 000 000","
+ $37 069 671 = $41 088 442  сборы","
$4 018 771","
Индия,  США,  ОАЭ",155 мин. / 02:35,"
$161 889","
  381.1 тыс.,      27.2 тыс."
Семь жизней (2008),8.169,"
2008","
$55 000 000","
+ $98 216 377 = $168 168 201  сборы","
$69 951 824","
США",118 мин. / 01:58,"
$1 431 747","
  9.62 млн,      1.82 млн,      1.66 млн, ..."
Шерлок Холмс и доктор Ватсон: Король шантажа (1980),8.169,"
1980","


                        4 февраля 2010,
                        «Lizard Cinema Trade»",,,"
СССР",63 мин. / 01:03,,
Афера (1973),8.165,"
1973","
$5 500 000","
  89.1 млн,      11.1 млн,      6.53 млн, ...","
$156 000 000 сборы","
США",129 мин. / 02:09,"
  89.1 млн,      11.1 млн,      6.53 млн, ...",
Рэй (2004),8.160,"
2004","
$40 000 000","
+ $48 639 776 = $123 971 376  сборы","
$75 331 600","
США",152 мин. / 02:32,"
                        $75 000","
  12.3 млн,      1.57 млн,      561 тыс., ..."
Танцующий с волками (1990),8.160,"
1990","
$22 000 000","
+ $240 000 000 = $424 208 848 сборы","
$184 208 848","
США,  Великобритания",181 мин. / 03:01,"
  43.7 млн,      7.28 млн,      6.86 млн, ...","

19 октября 1990, ..."
Привидение (1990),8.158,"
1990","
$22 000 000","
+ $288 071 282 = $505 702 588 сборы","
$217 631 306","
США",127 мин. / 02:07,"
  51.5 млн,      10 млн,      8.78 млн, ...","

13 июля 1990, ..."
Жизнь Дэвида Гейла (2002),8.158,"
2002","
$38 000 000","
$19 955 598","
$25 000 000","
США,  Германия,  Великобритания,  Испания",130 мин. / 02:10,"
+ $19 000 000 = $38 955 598 сборы","
  3.3 млн,      503.8 тыс.,      482.2 тыс., ..."
12 стульев (1971),8.158,"
1971","
  39.3 млн","

21 июня 1971, ...","
  39.3 млн","
СССР",153 мин. / 02:33,,
Самый быстрый Indian (2005),8.152,"
2005","
$25 000 000","
+ $11 381 582 = $16 509 706  сборы","
$5 128 124","
Новая Зеландия,  Япония,  США",127 мин. / 02:07,"
                        $114 500","
  782.9 тыс.,      96.3 тыс.,      38.4 тыс., ..."
Шерлок Холмс и доктор Ватсон: Сокровища Агры (1983),8.150,"
1983","

25 июня 1983","


                        11 февраля 2010,
                        «Lizard Cinema Trade»",,"
СССР",151 мин. / 02:31,,
Умница Уилл Хантинг (1997),8.148,"
1997","
$10 000 000","
+ $87 500 000 = $225 933 435 сборы","
$138 433 435","
США",126 мин. / 02:06,"
  29.5 млн,      2 млн,      1.44 млн, ...","

2 декабря 1997, ..."
Терминал (2004),8.147,"
2004","
$60 000 000","
$77 872 883","
$35 000 000","
США",124 мин. / 02:04,"
+ $140 813 273 = $218 686 156  сборы","
  12.5 млн,      1.63 млн,      1.41 млн, ..."
Назад в будущее 3 (1990),8.146,"
1990","
$40 000 000","
+ $156 800 000 = $244 527 583 сборы","
$87 727 583","
США",118 мин. / 01:58,"
  20.7 млн,      1.94 млн,      1.68 млн, ...","

25 мая 1990, ..."
Славные парни (1990),8.145,"
1990","
$25 000 000","
  11.1 млн,      1.35 млн,      976.3 тыс., ...","
$46 836 394  сборы","
США",140 мин. / 02:20,"
  11.1 млн,      1.35 млн,      976.3 тыс., ...",
Пираты Карибского моря: Сундук мертвеца (2006),8.143,"
2006","
$225 000 000","
+ $642 863 913 = $1 066 179 725  сборы","
$423 315 812","
США",151 мин. / 02:31,"
                        $27 512 316","
  64.6 млн,      10.8 млн,      7.75 млн, ..."
Лицо со шрамом (1983),8.143,"
1983","
$25 000 000","
+ $20 476 000 = $65 884 703 сборы","
$45 408 703","
США",170 мин. / 02:50,$5 360 157,"
  13.8 млн,      770.5 тыс.,      397.7 тыс., ..."
На несколько долларов больше (1965),8.141,"
1965","
$600 000","
  5.5 млн,      4.17 млн","
$15 000 000 сборы","
Италия,  Испания,  Германия (ФРГ)",130 мин. / 02:10,"
  5.5 млн,      4.17 млн",
Ледниковый период (2002),8.136,"
2002","
$59 000 000","
$176 387 405","
$35 000 000","
США",81 мин. / 01:21,"
+ $206 871 808 = $383 259 213 сборы","
  30.4 млн,      6.84 млн,      3.28 млн, ..."
Король говорит! (2010),8.136,"
2010","
$15 000 000","
+ $275 414 100 = $414 211 549  сборы","
$138 797 449","
Великобритания,  США,  Австралия",118 мин. / 01:58,"
$1 681 032","
  17.5 млн,      7.54 млн,      3.09 млн, ..."
Головоломка (2015),8.136,"
2015","
$175 000 000","
+ $501 149 463 = $857 611 174  сборы","
$356 461 711","
США",95 мин. / 01:35,"
$18 134 698","
  5.01 млн,      2.73 млн"
Блеф (1976),8.136,"
1976","
  44.3 млн,      5.84 млн","

15 апреля 1976, ...","
  44.3 млн,      5.84 млн","
Италия",110 мин. / 01:50,,
Перед классом (2008),8.134,"
2008","

7 декабря 2008",,,"
США",95 мин. / 01:35,,
Ромео и Джульетта (1968),8.132,"
1968","
$38 901 218 сборы","
  35.8 млн","
  35.8 млн","
Великобритания,  Италия",138 мин. / 02:18,"

4 марта 1968, ...",
Планета Ка-Пэкс (2001),8.127,"
2001","
$68 000 000","
+ $14 663 000 = $65 001 485 сборы","
$50 338 485","
Германия,  США",120 мин. / 02:00,"
  9.33 млн,      344.2 тыс.,      281.5 тыс., ...","

22 октября 2001, ..."
Золотой теленок (1968),8.127,"
1968","
  29.6 млн","

8 июля 1968, ...","
  29.6 млн","
СССР",164 мин. / 02:44,,
Семь самураев (1954),8.127,"
1954","
$500 000","
  7 млн","
$271 841  сборы","
Япония",207 мин. / 03:27,"
  7 млн",
Шерлок Холмс (2009),8.126,"
2009","
$90 000 000","
+ $315 000 000 = $524 028 679  сборы","
$209 028 679","
США,  Германия",128 мин. / 02:08,"
$16 494 393","
  32 млн,      4.6 млн,      3.04 млн, ..."
Амели (2001),8.125,"
2001","
$10 000 000","
$33 225 499","
$3 000 000","
Франция,  Германия",122 мин. / 02:02,"
+ $140 696 455 = $173 921 954 сборы","
  8.6 млн,      3.07 млн,      3.03 млн, ..."
В случае убийства набирайте «М» (1954),8.125,"
1954","
$1 400 000","
  2.32 млн","
$12 562  сборы","
США",105 мин. / 01:45,"
  2.32 млн",
Бешеные псы (1991),8.124,"
1991","
$1 200 000","
  682.4 тыс.","
$2 832 029  сборы","
США",100 мин. / 01:40,"
  682.4 тыс.",
Заплати другому (2000),8.124,"
2000","
$40 000 000","
$33 519 628","
$27 600 000","
США",123 мин. / 02:03,"
+ $22 187 783 = $55 707 411 сборы","
  5.99 млн,      314.1 тыс.,      178.4 тыс., ..."
Нюрнбергский процесс (1961),8.124,"
1961","
$3 000 000","

14 декабря 1961, ...","
$6 000 000 сборы","
США",186 мин. / 03:06,,
Вам и не снилось... (1980),8.120,"
1980","
  26.1 млн","

23 марта 1981, ...","
  26.1 млн","
СССР",86 мин. / 01:26,,
Вечное сияние чистого разума (2004),8.118,"
2004","
$20 000 000","
$34 400 301","
$10 000 000","
США",108 мин. / 01:48,"
+ $37 642 574 = $72 042 875 сборы","
  5.5 млн,      1.12 млн,      579.2 тыс., ..."
Корпорация монстров (2001),8.118,"
2001","
$115 000 000","
$289 916 256","
$50 000 000","
США",92 мин. / 01:32,"
+ $272 900 000 = $562 816 256 сборы","
  49 млн,      8.64 млн,      7.6 млн, ..."
Паразиты (2019),8.116,"
2019","
                        $11 800 000","
$1 252 297  сборы","
                        $88 480 969                                                сборы","
Корея Южная",131 мин. / 02:11,"
  10.1 млн,      282 тыс.","

21 мая 2019, ..."
Ганди (1982),8.115,"
1982","
$22 000 000","
  16.8 млн,      2.68 млн,      2.52 млн, ...","
$52 767 889  сборы","
Великобритания,  Индия,  США",191 мин. / 03:11,"
  16.8 млн,      2.68 млн,      2.52 млн, ...",
Воин (2011),8.113,"
2011","
$25 000 000","
+ $9 400 000 = $23 057 115 сборы","
$13 657 115","
США",140 мин. / 02:20,$5 149 564,"
  1.72 млн,      310 тыс.,      236.9 тыс., ..."
"Три билборда на границе Эббинга, Миссури (2017)",8.112,"
2017","
$15 000 000","
+ $104 696 424 = $159 210 164  сборы","
$54 513 740","
Великобритания,  США",115 мин. / 01:55,"
$3 389 115","
  680.1 тыс."
Апокалипсис сегодня (1979),8.110,"
1979","
$31 500 000","
$113 379","
$83 471 511","
США",194 мин. / 03:14,$606 984,"
  31.4 млн,      4.54 млн,      3.37 млн, ..."
Тот самый Мюнхгаузен (1979),8.109,"
1979","

1 января 1980","


                        11 января 2011,
                        «Парадиз»",,"
СССР",134 мин. / 02:14,,
Андрей Рублев (1966),8.107,"
1966","
                        1 000 000 руб.","
  2.9 млн","
  2.9 млн","
СССР",175 мин. / 02:55,"

18 февраля 1969, ...","


                        12 апреля 2010,
                        «Цифровой Элемент»"
Отец солдата (1964),8.106,"
1964","
  23.8 млн","

11 января 1965, ...","
  23.8 млн","
СССР",87 мин. / 01:27,,
Белый плен (2005),8.105,"
2005","
$40 000 000","
+ $38 843 429 = $120 455 994  сборы","
$81 612 565","
США",120 мин. / 02:00,$87 432 905,"
  12.5 млн,      535 тыс.,      511 тыс., ..."
Звёздные войны: Эпизод 3 – Месть Ситхов (2005),8.102,"
2005","
$113 000 000","
+ $469 727 028 = $849 997 605  сборы","
$380 270 577","
США",140 мин. / 02:20,"
                        $8 360 000","
  59.4 млн,      8.43 млн,      6.78 млн, ..."
Тренер Картер (2005),8.100,"
2005","
$30 000 000","
+ $9 404 929 = $76 669 806 сборы","
$67 264 877","
США,  Германия",136 мин. / 02:16,"
  10.5 млн,      340.8 тыс.,      158.2 тыс., ...","

13 января 2005, ..."
Твоё имя (2016),8.099,"
2016","
$5 017 246","
$654 416","
+ $352 968 841 = $357 986 087 сборы","
Япония",110 мин. / 01:50,"
  163.3 тыс.,      6.3 тыс.","

3 июля 2016, ..."
Писатели свободы (2006),8.098,"
2006","
$21 000 000","
+ $6 485 139 = $43 090 741  сборы","
$36 605 602","
Германия,  США",123 мин. / 02:03,$12 633 740,"
  5.32 млн,      256.6 тыс.,      99.5 тыс., ..."
Человек-слон (1980),8.096,"
1980","
$5 000 000","
  9.67 млн,      2.44 млн,      908 тыс., ...","
$26 010 864 сборы","
США,  Великобритания",125 мин. / 02:05,"
  9.67 млн,      2.44 млн,      908 тыс., ...",
Красота по-американски (1999),8.094,"
1999","
$15 000 000","
$130 096 601","
$30 000 000","
США",122 мин. / 02:02,"
+ $226 200 000 = $356 296 601 сборы","
  25.6 млн,      4.82 млн,      4.11 млн, ..."
Индиана Джонс и последний крестовый поход (1989),8.094,"
1989","
$48 000 000","
+ $277 000 000 = $474 171 806 сборы","
$197 171 806","
США",127 мин. / 02:07,$13 802 695,"
  49.4 млн,      6.25 млн,      4.22 млн, ..."
Мой сосед Тоторо (1988),8.094,"
1988","
$3 700 000","
+ $20 724 536 = $21 897 300 сборы","
$1 172 764","
Япония",86 мин. / 01:26,"
                        $10 689",
Исчезнувшая (2014),8.093,"
2014","
$61 000 000","
+ $201 563 174 = $369 330 363  сборы","
$167 767 189","
США",149 мин. / 02:29,"
$11 601 978","
  1.79 млн,      294.9 тыс."
Военный ныряльщик (2000),8.093,"
2000","
$32 000 000","
$48 818 921","
$23 700 000","
США",129 мин. / 02:09,"
+ $33 524 574 = $82 343 495 сборы","
  8.88 млн,      766.9 тыс.,      363.8 тыс., ..."
Октябрьское небо (1999),8.093,"
1999","
$25 000 000","
+ $2 128 000 = $34 675 800 сборы","
$32 547 800","
США",108 мин. / 01:48,"
  6.43 млн,      26.1 тыс.,      13.2 тыс., ...","

19 февраля 1999, ..."
Схватка (1995),8.092,"
1995","
$60 000 000","
+ $120 000 000 = $187 436 818 сборы","
$67 436 818","
США",171 мин. / 02:51,"
  15.4 млн,      2.74 млн,      1.43 млн, ...","

6 декабря 1995, ..."
Принцесса Мононоке (1997),8.088,"
1997","
¥2 400 000 000","
+ $157 000 000 = $159 375 308 сборы","
$2 375 308","
Япония",134 мин. / 02:14,"
$97 423","
  14.2 млн,      500.4 тыс.,      467.3 тыс., ..."
Звёздные войны: Эпизод 6 – Возвращение Джедая (1983),8.087,"
1983","
$32 500 000","
+ $165 800 000 = $475 106 177 сборы","
$309 306 177","
США",131 мин. / 02:11,$6 605 477,"
  94.1 млн,      8.35 млн,      5.05 млн, ..."
Ип Ман (2008),8.086,"
2008","
                        $11 715 578","

12 декабря 2008, ...","
                        $21 898 598                         сборы","
Гонконг,  Китай",106 мин. / 01:46,,
Знахарь (1981),8.085,"
1981","
  41.1 млн","

12 апреля 1982, ...","
  41.1 млн","
Польша",133 мин. / 02:13,,
Психо (1960),8.084,"
1960","
$806 947","
  42.7 млн,      2.07 млн,      724.8 тыс.","
$32 000 000 сборы","
США",109 мин. / 01:49,"
  42.7 млн,      2.07 млн,      724.8 тыс.",
Звёздочки на земле (2007),8.081,"
2007","
$1 223 869","
  68.9 тыс.","
+ $20 673 504 = $21 897 373  сборы","
Индия",165 мин. / 02:45,"
  68.9 тыс.",
Новый кинотеатр «Парадизо» (1988),8.080,"
1988","
$5 000 000","
  2.83 млн,      2.05 млн,      910.9 тыс., ...","
$11 990 401  сборы","
Италия,  Франция",124 мин. / 02:04,"
  2.83 млн,      2.05 млн,      910.9 тыс., ...",
Легенда №17 (2012),8.078,"
2012","
€10 000 000","
  4.2 млн,      149.6 тыс.","
$29 523 237  сборы","
Россия",134 мин. / 02:14,"
  4.2 млн,      149.6 тыс.",
Иллюзионист (2005),8.075,"
2005","
$16 500 000","
+ $48 023 746 = $87 892 388  сборы","
$39 868 642","
США,  Чехия",110 мин. / 01:50,"
                        $965 000","
  6.07 млн,      1.7 млн,      441.8 тыс., ..."
Шрек (2001),8.074,"
2001","
$60 000 000","
$267 665 011","
$45 000 000","
США",90 мин. / 01:30,"
+ $216 744 207 = $484 409 218 сборы","
  47.3 млн,      6.74 млн,      4.02 млн, ..."
"Ирония судьбы, или С легким паром! (1975)",8.074,"
1975","
  7 млн","

31 декабря 1975","
  7 млн","
СССР",184 мин.,,
Последний самурай (2003),8.074,"
2003","
$140 000 000","
$111 127 263","
$30 000 000","
США,  Новая Зеландия,  Япония",154 мин. / 02:34,"
+ $345 631 718 = $456 758 981  сборы","
  18.4 млн,      12.1 млн,      3.66 млн, ..."
Берегись автомобиля (1966),8.072,"
1966","
  29 млн","

10 декабря 1966, ...","
  29 млн","
СССР",94 мин. / 01:34,,
Цирк (1928),8.072,"
1928","
                        $900 000",,"

6 января 1928, ...","
США",72 мин. / 01:12,"


                        22 июня 2004,
                        «Premier Digital»","


                        5 декабря 2012,
                        «Деваль-Видео»"
Трасса 60 (2001),8.069,"
2001","
                        $7 000 000","
  2.4 тыс.","
  2.4 тыс.","
Канада,  США",116 мин. / 01:56,"

13 апреля 2002, ...","


                        31 октября 2002,
                        «Союз-Видео»"
Жестокий романс (1984),8.069,"
1984","
  22 млн","

23 ноября 1984, ...","
  22 млн","
СССР",137 мин. / 02:17,,
Тэмпл Грандин (2010),8.069,"
2010","

6 февраля 2010, ...",,,"
США",107 мин. / 01:47,,
Гарри Поттер и узник Азкабана (2004),8.068,"
2004","
$130 000 000","
$249 541 069","
$50 000 000","
Великобритания,  США",142 мин. / 02:22,"
+ $547 147 480 = $796 688 549  сборы","
  40.2 млн,      11 млн,      10.3 млн, ..."
Хоббит: Пустошь Смауга (2013),8.067,"
2013","
$225 000 000","
+ $702 000 000 = $960 366 855  сборы","
$258 366 855","
США,  Новая Зеландия",161 мин. / 02:41,"
$44 946 959","
  11.2 млн,      6 млн,      4.9 млн, ..."
Брат 2 (2000),8.067,"
2000","
                        $1 500 000","
  12.1 тыс.,      1.9 тыс.,      1.6 тыс.","
                        $1 080 000                                                сборы","
Россия,  США",127 мин. / 02:07,"
  12.1 тыс.,      1.9 тыс.,      1.6 тыс.",
Пока не сыграл в ящик (2007),8.066,"
2007","
$45 000 000","
+ $81 906 000 = $175 372 502  сборы","
$93 466 502","
США",97 мин. / 01:37,"
$926 500","
  12.9 млн,      949.9 тыс.,      905.6 тыс., ..."
Загадочная история Бенджамина Баттона (2008),8.065,"
2008","
$150 000 000","
+ $206 422 757 = $333 932 083  сборы","
$127 509 326","
США",166 мин. / 02:46,"
$4 379 686","
  17.4 млн,      2.61 млн,      2.08 млн, ..."
Хулиганы (2005),8.065,"
2005","
$346 830","
  271.8 тыс.,      100.6 тыс.,      59.5 тыс., ...","
+ $2 807 516 = $3 154 346 сборы","
США,  Великобритания",109 мин. / 01:49,"
  271.8 тыс.,      100.6 тыс.,      59.5 тыс., ...",
Я – Сэм (2001),8.062,"
2001","
$22 000 000","
+ $57 506 287 = $97 818 139 сборы","
$40 311 852","
США",132 мин. / 02:12,"
  6.94 млн,      686.2 тыс.,      466.7 тыс., ...","

3 декабря 2001, ..."
Дурак (2014),8.060,"
2014","
                        $1 300 000","
  5.1 тыс.","
$15 554  сборы","
Россия",116 мин. / 01:56,"
  5.1 тыс.",
Ураган (1999),8.060,"
1999","
$50 000 000","
+ $23 257 000 = $73 956 241 сборы","
$50 699 241","
США",146 мин. / 02:26,"
  9.13 млн,      368.9 тыс.,      362.1 тыс., ...","

17 сентября 1999, ..."
Гарри Поттер и философский камень (2001),8.059,"
2001","
$125 000 000","
$317 575 550","
$40 000 000","
Великобритания,  США",152 мин. / 02:32,"
+ $657 179 821 = $974 755 371 сборы","
  55.7 млн,      16.2 млн,      12.4 млн, ..."
Медведь (1988),8.059,"
1988","
$31 753 898  сборы","
  9.14 млн,      8 млн,      1.79 млн, ...","
  9.14 млн,      8 млн,      1.79 млн, ...","
Франция,  США",94 мин. / 01:34,"

19 октября 1988, ...","


                        16 сентября 2008,
                        «CD Land»"
Подмена (2008),8.058,"
2008","
$55 000 000","
+ $77 280 454 = $113 020 256  сборы","
$35 739 802","
США",141 мин. / 02:21,"
$922 883","
  4.96 млн,      1.41 млн,      1.39 млн, ..."
Апокалипсис (2006),8.058,"
2006","
$40 000 000","
+ $69 308 655 = $120 175 290  сборы","
$50 866 635","
США,  Мексика",139 мин. / 02:19,"
$4 749 500","
  7.72 млн,      1.06 млн,      936.1 тыс., ..."
Гарри Поттер и Дары Смерти: Часть II (2011),8.057,"
2011","
$125 000 000","
+ $960 500 000 = $1 341 511 219  сборы","
$381 011 219","
США,  Великобритания",130 мин. / 02:10,"
$37 185 546","
  48 млн,      12.1 млн,      10.4 млн, ..."
Три идиота (2009),8.057,"
2009","
INR 550 000 000","
+ $80 000 000 = $86 532 874  сборы","
$6 532 874","
Индия",170 мин. / 02:50,"
  1.05 млн,      388.5 тыс.,      332.5 тыс., ...","

23 декабря 2009, ..."
Песнь моря (2014),8.055,"
2014","
€5 300 000","
$35 245","
$857 522","
Ирландия,  Дания,  Бельгия,  Люксембург,  Франция",93 мин. / 01:33,"
  11.4 тыс.","

6 сентября 2014, ..."
Рататуй (2007),8.054,"
2007","
$150 000 000","
+ $417 277 164 = $623 722 818  сборы","
$206 445 654","
США",111 мин. / 01:51,"
$10 147 600","
  30 млн,      7.71 млн,      5.79 млн, ..."
Золотая лихорадка (1925),8.054,"
1925","
$923 000","

26 июня 1925, ...","
$5 450 000 сборы","
США",95 мин. / 01:35,,
Убить пересмешника (1962),8.053,"
1962","
$2 000 000",$230 239,"
$592 237 сборы","
США",129 мин. / 02:09,"

25 декабря 1962, ...","


                        12 ноября 2018,
                        «НД Плэй»"
Крепкий орешек (1988),8.052,"
1988","
$28 000 000","
+ $55 700 000 = $138 708 852 сборы","
$83 008 852","
США",133 мин. / 02:13,"
  20.2 млн,      1.31 млн,      655.5 тыс.","

12 июля 1988, ..."
Столкновение (2004),8.050,"
2004","
$6 500 000","
+ $43 829 761 = $98 410 061 сборы","
$54 580 300","
США,  Германия",108 мин. / 01:48,"
                        $405 000","
  8.5 млн,      1.53 млн,      1.32 млн, ..."
Крупная рыба (2003),8.047,"
2003","
$70 000 000","
$66 809 693","
$25 000 000","
США",125 мин. / 02:05,"
+ $56 109 362 = $122 919 055  сборы","
  10.8 млн,      1.35 млн,      1.07 млн, ..."
Завтра была война (1987),8.047,"
1987","
  13.5 млн","

9 июля 1987, ...","
  13.5 млн","
СССР",89 мин. / 01:29,,
Звёздные войны: Эпизод 5 – Империя наносит ответный удар (1980),8.046,"
1980","
$18 000 000","
+ $247 900 000 = $538 375 067 сборы","
$290 475 067","
США",124 мин. / 02:04,$4 951 540,"
  98.2 млн,      9.09 млн,      5.05 млн, ..."
Аватар (2009),8.045,"
2009","
$237 000 000","
+ $2 027 457 462 = $2 787 965 087  сборы","
$760 507 625","
Великобритания,  США",162 мин. / 02:42,"
$119 903 638","
  97.3 млн,      27.6 млн,      16.5 млн, ..."
"Знакомьтесь, Джо Блэк (1998)",8.045,"
1998","
$90 000 000","
+ $98 321 000 = $142 940 100 сборы","
$44 619 100","
США",178 мин. / 02:58,"
  9.5 млн,      1.29 млн,      1.07 млн, ...","

2 ноября 1998, ..."
Билли Эллиот (2000),8.043,"
2000","
$5 000 000","
+ $87 285 000 = $109 280 263 сборы","
$21 995 263","
Великобритания,  Франция",110 мин. / 01:50,"
  4.02 млн,      3.89 млн,      2.54 млн, ...","

19 мая 2000, ..."
Рапунцель: Запутанная история (2010),8.042,"
2010","
$260 000 000","
+ $390 973 000 = $591 794 936  сборы","
$200 821 936","
США",100 мин. / 01:40,"
$23 377 477","
  25.4 млн,      3.99 млн,      3.93 млн, ..."
Старший сын (1975),8.041,"
1975","

20 мая 1976, ...","


                        27 февраля 2009,
                        «Азимут»",,"
СССР",134 мин.,,
Вверх (2009),8.040,"
2009","
$175 000 000","
+ $438 337 692 = $731 341 856  сборы","
$293 004 164","
США",96 мин. / 01:36,"
$11 997 927","
  39.1 млн,      6.36 млн,      4.47 млн, ..."
Поющие под дождем (1952),8.038,"
1952","
$2 540 800","

27 марта 1952, ...","
$1 729 345  сборы","
США",103 мин. / 01:43,,
Мулан (1998),8.037,"
1998","
$90 000 000","
+ $183 700 000 = $304 320 254 сборы","
$120 620 254","
США",84 мин. / 01:24,"
  25.7 млн,      5.76 млн,      4.12 млн, ...","

5 июня 1998, ..."
"Аты-баты, шли солдаты... (1976)",8.036,"
1976","
  35.8 млн","

15 апреля 1977, ...","
  35.8 млн","
СССР",87 мин. / 01:27,,
Жизнь Пи (2012),8.034,"
2012","
$120 000 000","
+ $484 029 542 = $609 016 565  сборы","
$124 987 023","
США,  Тайвань,  Великобритания,  Канада",127 мин. / 02:07,"
$30 228 172","
  14.1 млн,      4.79 млн,      3.07 млн, ..."
Мандарины (2013),8.034,"
2013","
€650 000","
  33 тыс.","
$144 501  сборы","
Эстония,  Грузия",87 мин. / 01:27,"
  33 тыс.",
Гаттака (1997),8.032,"
1997","
$36 000 000","
  2.62 млн,      368.4 тыс.,      333.5 тыс., ...","
$12 339 633  сборы","
США",106 мин. / 01:46,"
  2.62 млн,      368.4 тыс.,      333.5 тыс., ...",
Русалочка (1989),8.032,"
1989","
$40 000 000","
+ $99 800 000 = $211 343 479 сборы","
$111 543 479","
США",83 мин. / 01:23,"
  26.5 млн,      4.7 млн,      3.75 млн, ...","

13 ноября 1989, ..."
Догвилль (2003),8.031,"
2003","
$10 000 000","
+ $14 708 967 = $16 244 253 сборы","
$1 535 286","
Дания,  Нидерланды,  Швеция,  Германия,  Великобритания,  Франция,  Финляндия,  Норвегия,  Италия",178 мин. / 02:58,"
                        $560 124","
  516.9 тыс.,      349 тыс.,      265.2 тыс., ..."
Крамер против Крамера (1979),8.030,"
1979","
$8 000 000","
  43 млн,      4.04 млн,      3.17 млн, ...","
$106 260 000 сборы","
США",105 мин. / 01:45,"
  43 млн,      4.04 млн,      3.17 млн, ...",
Реквием по мечте (2000),8.029,"
2000","
$4 500 000","
+ $3 754 626 = $7 390 108 сборы","
$3 635 482","
США",102 мин. / 01:42,"
  667.4 тыс.,      229.1 тыс.,      86.8 тыс., ...","

14 мая 2000, ..."
Леди и бродяга (1955),8.029,"
1955","
$4 000 000",$111 244 268,"
$93 602 326  сборы","
США",76 мин. / 01:16,"
  55.7 млн,      11.2 млн,      3 млн, ...","

16 июня 1955, ..."
История игрушек: Большой побег (2010),8.028,"
2010","
$200 000 000","
+ $648 157 063 = $1 063 161 943  сборы","
$415 004 880","
США",103 мин. / 01:43,"
$6 647 237","
  52.6 млн,      14.8 млн,      12.6 млн, ..."
Холодное лето пятьдесят третьего... (1987),8.028,"
1987","
  41.8 млн","

3 ноября 1988, ...","
  41.8 млн","
СССР",102 мин. / 01:42,,
Мужики!.. (1981),8.028,"
1981","
  38.4 млн","

18 января 1982, ...","
  38.4 млн","
СССР",97 мин. / 01:37,,
Профессионал (1981),8.027,"
1981","
                        € 500 000","
  5.24 млн","
  5.24 млн","
Франция",108 мин. / 01:48,"

21 октября 1981, ...","


                        16 декабря 2010,
                        «Neoclassica»"
Иваново детство (1962),8.027,"
1962","
  16.7 млн","

6 апреля 1962, ...","
  16.7 млн","
СССР",96 мин. / 01:36,,
Пираты Карибского моря: На краю Света (2007),8.025,"
2007","
$300 000 000","
+ $654 000 000 = $963 420 425  сборы","
$309 420 425","
США",169 мин. / 02:49,"
$30 850 884","
  45 млн,      8.4 млн,      8.05 млн, ..."
Секреты Лос-Анджелеса (1997),8.025,"
1997","
$35 000 000","
+ $61 600 000 = $126 216 940 сборы","
$64 616 940","
США",138 мин. / 02:18,"
  13.8 млн,      1.88 млн,      1.39 млн, ...","

14 мая 1997, ..."
"Девочка, покорившая время (2006)",8.024,"
2006","
  44.8 тыс.","

15 июля 2006, ...","
  44.8 тыс.","
Япония",98 мин. / 01:38,,
"Весна, лето, осень, зима... и снова весна (2003)",8.024,"
2003","
$2 380 788","
                        $145 000","
+ $7 143 957 = $9 524 745 сборы","
Корея Южная,  Германия",103 мин. / 01:43,"
  383.4 тыс.,      220.4 тыс.,      186.9 тыс., ...","

14 августа 2003, ..."
